Base Form, Derived Words
petrol, petrol
petroleum, petroleum
petty, petty
pharmacy, pharmacy
phone, phone
pile, pile
pilgrim, pilgrim
pill, pill
pillar, pillar
pilot, pilot
 pest,  pest
plight, plight
plough, plough
plug, plug
plumber, plumber
plunge, plunge
plural, plural
plu, plus
plus, plus
 pin,  pin
pinch, pinch
pint, pint
pioneer, pioneer
pirate, pirate
pistol, pistol
pit, pit
pitch, pitch
plagiarism, plagiarism
plague, plague
plain, plain
planet , planet 
pipe, pipe
plant, plant
plantation, plantation
plaster, plaster
plastic, plastic
plate, plate
plateau, plateau
platform, platform
play, play
 pleasure,  pleasure
pledge, pledge
plentiful, plentiful
pneumonia, pneumonia
pocket, pocket
poison, poison
poisonous, poisonous
poisonou, poisonous
★ pot, ★ pot
pound, pound
powder, powder
praise, praise
pray, pray
prayer, prayer
☆ poke, ☆ poke
polar, polar
pole, pole
pollute, pollute
pollution, pollution
pool, pool
pop, pop
pope, pope
popular, popular
porcelain, porcelain
portable, portable
porter, porter
portfolio, portfolio
portrait, portrait
portray, portray
post, post
postage, postage
poster, poster
postman, postman
postpone, postpone
posture, posture
preclude, preclude
predominant, predominant
 pregnant,  pregnant
★ passage, ★ passage
passerby, passerby
passport, passport
paste, paste
pastime, pastime
pat, pat
path, path
pathetic, pathetic
patience, patience
patriotic, patriotic
patrol, patrol
patron, patron
pause, pause
pavement, pavement
 peel,  peel
peep, peep
penalty, penalty
penetrate , penetrate 
pension, pension
people, people
perfume, perfume
permanent , permanent 
 peninsula,  peninsula
 penny,  penny
permeate, permeate
permission , permission 
permit, permit
  pack,   pack
package, package
pact, pact
pad, pad
paddle, paddle
pain, pain
painful, painful
paint, paint
painter, painter
pair, pair
pale, pale
palm, palm
pamphlet, pamphlet
panic, panic
pant, pant
paper, paper
paperback, paperback
parachute, parachute
parade, parade
paradigm, paradigm
paradise, paradise
paradox, paradox
parameter, parameter
parasite, parasite
parcel, parcel
pardon, pardon
parliament, parliament
 peaceful,  peaceful
peak, peak
pearl, pearl
pedal, pedal
pedestrian, pedestrian
★ pretext, ★ pretext
pretty, pretty
prevail, prevail
prevalent, prevalent
pride, pride
priest, priest
prize, prize
probability, probability
probable, probable
★ proficienc, ★ proficienc
profile, profile
prone, prone
pronounce, pronounce
propagate, propagate
propaganda, propaganda
prophet, prophet
prosecute, prosecute
prosper, prosper
prosperity, prosperity
prosperous, prosperous
prosperou, prosperous
protect, protect
protein, protein
protest, protest
prototype, prototype
proud, proud
province, province
provision, provision
provoke, provoke
★ puff, ★ puff
pull, pull
pulse, pulse
pump, pump
punch, punch
punctual, punctual
punish, punish
puppet, puppet
pure, pure
purify, purify
purpose, purpose
purse, purse
pathological, pathological
pathway, pathway
patronage, patronage
patronize, patronize
paycheck, paycheck
peculiarity, peculiarity
penalize, penalize
perception, perception
perceptive, perceptive
perceptual, perceptual
perfectly, perfectly
performative, performative
performer, performer
periodically, periodically
permissive, permissive
perpetuate, perpetuate
perpetuity, perpetuity
persistence, persistence
persistent, persistent
persistently, persistently
persuasive, persuasive
pervasive, pervasive
petal, petal
pharaoh, pharaoh
pharmaceutical, pharmaceutical
philosophical, philosophical
phony, phony
phras, phrasing
phrasing, phrasing
physically, physically
physique, physique
pinpoint, pinpoint
player, player
playgoer, playgoer
poach, poach
pocketbook, pocketbook
pointles, pointless
pointless, pointless
polarize, polarize
potash, potash
potentially, potentially
powerfully, powerfully
powerless, powerless
powerles, powerless
practicality, practicality
preconception, preconception
predictable, predictable
predictably, predictably
 philharmonic,  philharmonic
 precisely,  precisely
 predator,  predator
prediction, prediction
predominantly, predominantly
prehistoric, prehistoric
preoccupation, preoccupation
 prefrontal,  prefrontal
prerequisite , prerequisite 
presuppose, presuppose
prevention, prevention
prewar, prewar
priestly, priestly
primarily, primarily
principally, principally
presumptuou, presumptuous
presumptuous, presumptuous
 previously,  previously
printer, printer
probably, probably
processor, processor
procreation, procreation
prod, prod
producer, producer
professionalise, professionalise
proficient, proficient
profit-making, profit-making
profit-mak, profit-making
progression, progression
prohibition, prohibition
projection, projection
 professionalism,  professionalism
 professorship,  professorship
 profoundly,  profoundly
promoter, promoter
promotion, promotion
promotional, promotional
pronouncement, pronouncement
properly, properly
proportionality, proportionality
prosecutor, prosecutor
protection, protection
proudly, proudly
proverb, proverb
provider, provider
provincial, provincial
provincialism, provincialism
provocative, provocative
psychedelic, psychedelic
psychiatrist, psychiatrist
psychoactive, psychoactive
psychological, psychological
psychologist, psychologist
pubic, pubic
publicize, publicize
publisher, publisher
punctuation, punctuation
purely, purely
puritan, puritan
qualification , qualification 
quality, quality
qualitative, qualitative
★ quick, ★ quick
quit, quit
quest, quest
questionnaire, questionnaire
quote, quote
qualify, qualify
quarrel, quarrel
quart, quart
quarter, quarter
quarantine, quarantine
queer, queer
query, query
queue, queue
quiver, quiver
quiz, quiz
quota, quota
quantify, quantify
quantitative , quantitative 
quantity, quantity
quadruple, quadruple
questionable, questionable
 quick-witted ,  quick-witted 
quirk, quirk
radiate, radiate
radiant, radiant
radical, radical
★ rail, ★ rail
railroad/railway, railroad/railway
raise, raise
rally, rally
random, random
range, range
rank, rank
★ recognition, ★ recognition
recognize, recognize
recommend, recommend
recover, recover
recovery, recovery
recruit, recruit
rake, rake
rare, rare
rarely, rarely
rate, rate
ratio, ratio
rational, rational
reach, reach
react, react
realistic, realistic
reality, reality
realize, realize
 reason,  reason
reasonable, reasonable
recent, recent
  reliable,   reliable
reliance, reliance
religion, religion
religious, religious
religiou, religious
rely, rely
redeem, redeem
reduce, reduce
reduction, reduction
refer, refer
reference, reference
remote, remote
remove, remove
removal, removal
remain, remain, remains
remainder, remainder
remains, remains
remedy, remedy
remember, remember
remind, remind
render, render
★ reflect, ★ reflect
reflection, reflection
reform, reform
reject, reject
rejoice, rejoice
relate, relate
relation, relation
relationship, relationship
relative, relative
relativity, relativity
relevant, relevant
 reverse,  reverse
review, review
revise, revise
revive, revive
reward, reward
rich, rich
rise, rise
risk, risk
rival, rival
role, role
roll, roll
root, root
route, route
routine, routine
row, row
rule, rule
ruler, ruler
 restore,  restore
restrain, restrain
restraint, restraint
restrict, restrict
rap, rap
rape, rape
rapid, rapid
rash, rash
raw, raw
ray, ray
reader, reader
read, reading
reading, reading
readily, readily
realm, realm
reap, reap
rear, rear
relax, relax
relay, relay
release, release
relief, relief
relieve, relieve
relish, relish
reluctant, reluctant
recall, recall
recollect, recollect
reconcile, reconcile
recur, recur
recreation , recreation 
redundant ]reed, redundant ]reed
redundant ]re, redundant ]reed
reel, reel
 recycle ,  recycle 
 rectify,  rectify
★ refine, ★ refine
refrain, refrain
refuge, refuge
refugee, refugee
refund, refund
refusal, refusal
refuse, refuse
★ regard, ★ regard
regarding, regarding
regard, regarding
regardles, regardless
regardless, regardless
regime, regime
register, register
rehearse, rehearse
reign, reign
rein, rein
reinforce, reinforce
★ represent, ★ represent
representative, representative
repression, repression
reproach, reproach
reproduce, reproduce
republic, republic
republican, republican
resemblance, resemblance
resemble, resemble
reservoir, reservoir
residence, residence
resident, resident
resign, resign
resolute, resolute
resolution, resolution
resolve, resolve
★ remark, ★ remark
remarkable, remarkable
remnant, remnant
renaissance, renaissance
renew, renew
renovate, renovate
rent, rent
repair, repair
repay, repay
repeat, repeat
repeatedly, repeatedly
repel, repel
repertoire, repertoire
repetition, repetition
 rest,  rest
restles, restless
restless, restless
 reckless,  reckless
 reckles,  reckless
reckon, reckon
reclaim, reclaim
 race,  race
racial, racial
rack, rack
racket, racket
radio, radio
radioactive , radioactive 
rag, rag
radius, radius
radiu, radius
rage, rage
raid, raid
reassure, reassure
rebel, rebel
rebellion, rebellion
recede, recede
receipt, receipt
reception, reception
recession, recession
recipe, recipe
recipient, recipient
reciprocal, reciprocal
recite, recite
★ rhetoric, ★ rhetoric
rhythm, rhythm
rib, rib
ribbon, ribbon
rid, rid
riddle, riddle
ridge, ridge
ridiculou, ridiculous
ridiculous, ridiculous
rigid, rigid
rigorous, rigorous
rigorou, rigorous
rim, rim
riot, riot
revolutionary, revolutionary
revolve, revolve
★ retail, ★ retail
retain, retain
retention, retention
retire, retire
retort, retort
retreat, retreat
retrieve, retrieve
retrospect, retrospect
revolt, revolt
revolution, revolution
 romance,  romance
romantic, romantic
rip, rip
ripe, ripe
ritual, ritual
roar, roar
roast, roast
rob, rob
robust, robust
rock, rock
rod, rod
roof, roof
rope, rope
rotate, rotate
rot, rot
rotten, rotten
rough, rough
round, round
roundabout, roundabout
rouse, rouse
royal, royal
royalty, royalty
rub, rub
rubber, rubber
rude, rude
ruin, ruin
★ rumo(u)r, ★ rumo(u)r
run, run
rural, rural
rush, rush
rust, rust
ruthles, ruthless
ruthless, ruthless
radiation randomly  rapidly, radiation randomly  rapidly
rationalization, rationalization
reactor, reactor
readmit, readmit
reaffirm, reaffirm
rebuild, rebuild
receptor, receptor
recitation, recitation
recklessly, recklessly
redefine, redefine
redundancy, redundancy
refutation, refutation
regain, regain
regrettably, regrettably
regularity, regularity
regulator, regulator
regulatory, regulatory
reclassify, reclassify
recommendation , recommendation 
reconsider, reconsider
reconstruction, reconstruction
reconstruct, reconstruct
remarry, remarry
remould, remould
renege, renege
renewable, renewable
renown, renowned, renown
renowned, renowned
reorder, reorder
replaceable, replaceable
reportorial, reportorial
repository, repository
representation, representation
representational reproducibility, representational reproducibility
reproductive, reproductive
resentment, resentment
reshape, reshape
resignation, resignation
respectable, respectable
restoration, restoration
restriction, restriction
restrictive, restrictive
retailer, retailer
retrieval, retrieval
reviewer, reviewer
revision, revision
revitaliz(s)e, revitaliz(s)e
revival, revival
re-evaluate, re-evaluate
richness, richness
richnes, richness
righteou, righteous
righteous, righteous
rightly, rightly
rinse, rinse
risky, risky
robotics, robotics
robotic, robotics
rosy, rosy
roughly, roughly
routinely rubble, routinely rubble
rut, rut
★ safeguard, ★ safeguard
safety, safety
savage, savage
save, save
saving, saving
sav, saving
scale, scale
scene, scene
scenery, scenery
sit, sit
site, site
situate, situate
situation, situation
skeleton, skeleton
skeptical, skeptical
sketch, sketch
scope, scope
score, score
scorn, scorn
secure, secure
security, security
see, see
seek, seek
seem, seem
seemingly, seemingly
shield, shield
shift, shift
shoulder, shoulder
show, show
shower, shower
★ span, ★ span
spare, spare
schedule, schedule
scheme, scheme
science, science
scientific, scientific
scientist, scientist
★ sell, ★ sell
send, send
senior, senior
smart, smart
smell, smell
soak, soak
S0ar, S0ar
sociable, sociable
social, social
socialism, socialism
society, society
sociology, sociology
soluble, soluble
solution, solution
solve, solve
select, select
selection, selection
sense, sense
sensation, sensation
sensible, sensible
sensitive, sensitive
separate, separate
sequence, sequence
serial, serial
series, series
serie, series
seriou, serious
serious, serious
 self,  self
selfish, selfish
★ serve, ★ serve
servant, servant
service, service
set, set
setback, setback
setting, setting
sett, setting
settle, settle
settlement, settlement
several, several
severe, severe
shape, shape
share, share
sharp, sharp
shelter, shelter
sophisticat, sophisticated
sophisticated, sophisticated
sovereign, sovereign
Sow, Sow
★ special, ★ special
specialist, specialist
specialize, specialize
special(ity, special(ity
species, species
specie, species
Specific, Specific
specification, specification
specify, specify
speculate, speculate
★ shadow, ★ shadow
shade, shade
sort, sort
soul, soul
sound, sound
sour, sour
Source, Source
sign, sign
signature, signature
signal, signal
significance, significance
similar, similar
simple, simple
simplicity, simplicity
simplify, simplify
simply, simply
slack, slack
significant , significant 
signify, signify
straight, straight
straightforward, straightforward
strain, strain
strategy, strategy
strength, strength
strengthen, strengthen
strenuous, strenuous
strenuou, strenuous
stress, stress
stres, stress
stretch, stretch
★ subject, ★ subject
subjective, subjective
spoil, spoil
sponsor, sponsor
spread, spread
spur, spur
spy, spy
stability, stability
stable, stable
staff, staff
stage, stage
★ stock, ★ stock
store, store
storage, storage
stride, stride
strike, strike
striking, striking
strik, striking
str, string
string, string
structure, structure
stun, stun
★ stand, ★ stand
standard, standard
standpoint, standpoint
stance, stance
start, start
startle, startle
starve, starve
state, state
statement, statement
statesman, statesman
statistic, statistics
statistics, statistics
statue, statue
statu, status
status, status
statute, statute
stay, stay
steady, steady
steer, steer
stem, stem
step, step
stern, stern
★ submit, ★ submit
subordinate, subordinate
subscribe, subscribe
subsequent, subsequent
substance, substance
substantial, substantial
substitute, substitute
subtle, subtle
stick, stick
stimulate, stimulate
stir, stir
stipulate, stipulate
 surname,  surname
surpas, surpass
surpass, surpass
surplus, surplus
surplu, surplus
surprise, surprise
survey, survey
surveillance, surveillance
survival, survival
survive, survive
susceptible, susceptible
suspend, suspend
suspect, suspect
suspicion, suspicion
suspicious, suspicious
suspiciou, suspicious
sustain, sustain
swarm, swarm
swear, swear
swell, swell
sw, swing
swing, swing
switch, switch
slip, slip
slipper, slipper
slippery, slippery
slogan, slogan
slope, slope
slot, slot
slum, slum
slump, slump
sly, sly
smash, smash
smog, smog
smooth, smooth
smuggle, smuggle
★ skate, ★ skate
ski, ski
skill, skill, skilled
skilled, skilled
skil(1)ful, skil(1)ful
skim, skim
skin, skin
skip, skip
skull, skull
skyscraper, skyscraper
slam, slam
slap, slap
slaughter, slaughter
sleeve, sleeve
slender, slender
slice, slice
slide, slide
slight, slight
slim, slim
shabby, shabby
shaft, shaft
shake, shake
shallow, shallow
shame, shame
shampo0, shampo0
shatter, shatter
shave, shave
shear, shear
shed, shed
sh, shed
sheer, sheer
sheet, sheet
shepherd, shepherd
 shrewd,  shrewd
shrink, shrink
shut, shut
shutter, shutter
shuttle, shuttle
shy, shy
sick, sick
side, side
sideways, sideways
sideway, sideways
siege, siege
sigh, sigh
sight, sighted, sight
sightsee, sightseeing
sightseeing, sightseeing
silence, silence
relatively , relatively 
singular, singular
sink, sink
sip, sip
siren, siren
★ sore, ★ sore
sorroW, sorroW
s0-called, s0-called
s0-call, s0-called
Spark, Spark
sparkle, sparkle
space, space
spacecraft, spacecraft
spaciou, spacious
spacious, spacious
specimen, specimen
spectacle, spectacle
spectator, spectator
spectrum, spectrum
sphere, sphere
spicy, spicy
spill, spill
spin, spin
spine, spine
spiral, spiral
spirit, spirit
spiritual, spiritual
spit, spit
spite, spite
splash, splash
splendid, splendid
split, split
spontaneous, spontaneous
spontaneou, spontaneous
spouse, spouse
 spot,  spot
snap, snap
snatch, snatch
sneak, sneak
sneeze, sneeze
sniff, sniff
snobbish, snobbish
sob, sob
sober, sober
software, software
soil, soil
solar, solar
sole, sole
solemn, solemn
solid, solid
solidarity, solidarity
solo, solo
somewhat, somewhat
spray, spray
spring, spring
spr, spring
sprinkle, sprinkle
sprout, sprout
square, square
squeeze, squeeze
stab, stab
stack, stack
stagger  , stagger  
stagnant, stagnant
 stagnate,  stagnate
★ sail, ★ sail
sailor, sailor
saint, saint
sake, sake
salad, salad
salary, salary
salute, salute
salvation, salvation
semester, semester
semiconductor , semiconductor 
senate, senate
senator, senator
sentence, sentence
sentiment, sentiment
session, session
sew, sew
shine, shine
shipment, shipment
seminar, seminar
shiver, shiver
shock, shock
shoot, shoot
shot, shot
shortage, shortage
shortcoming , shortcoming 
shove, shove
shorthand, shorthand
★ sack, ★ sack
sacr, sacred
sacred, sacred
sacrifice, sacrifice
saddle, saddle
sample, sample
sanction, sanction
sandwich, sandwich
sane, sane
sarcastic, sarcastic
satellite, satellite
satisfaction, satisfaction
satisfactory, satisfactory
satisfy, satisfy
satire, satire
saturate, saturate
sauce, sauce
saucer, saucer
sausage, sausage
saw, saw
scan, scan
Scandal, Scandal
scar, scar
scarce, scarce
scarcely, scarcely
scare, scare
scarf, scarf
scatter, scatter
scenario, scenario
scent, scent
scholar, scholar
scholarship, scholarship
school, school
 scold,  scold
scout, scout
scramble, scramble
Scrap, Scrap
Scrape, Scrape
scratch, scratch
Scream, Scream
Screen, Screen
screw, screw
script, script
scrutiny, scrutiny
sculpture, sculpture
seal, seal
seam, seam
second, second
secondary, secondary
secretary, secretary
section, section
sector, sector
segment, segment
segregate, segregate
seize, seize
★ static, ★ static
station, station
stationary, stationary
stationery, stationery
steak, steak
steam, steam
steep, steep
stereotype, stereotype
steward, steward
★ stoop, ★ stoop
storm, storm
strand, strand
strange, strange
stranger, stranger
strap, strap
straw, straw
strcam, strcam
streamline, streamline
★stalk, ★stalk
stain, stain
stake, stake
stale, stale
stall, stall
staple, staple
stamp, stamp
stare, stare
stiff, stiff
still, still
st, sting
sting, sting
stitch, stitch
★ suite, ★ suite
sum, sum
summary, summary
Summit, Summit
summon, summon
sunrise, sunrise
sunset, sunset
sunshine, sunshine
★ supermarket, ★ supermarket
supersonic, supersonic
superstition, superstition
surrender, surrender
surround, surround
surroundings, surroundings
surrounding, surroundings
★ surface, ★ surface
surge, surge
surgeon, surgeon
surgery, surgery
swallow, swallow
swamp, swamp
Sway, Sway
Sweat, Sweat
sweep, sweep
swift, swift
swim, swim
Symbol, Symbol
symmetry, symmetry
sympathetic, sympathetic
sympathize, sympathize
sympathy, sympathy
symphony, symphony
symposium, symposium
symptom, symptom
syndrome, syndrome
synthesi, synthesis
synthesis, synthesis
synthetic, synthetic
☆ strife, ☆ strife
strive, strive
struggle, struggle
strip, strip
stripe, stripe
stroke, stroke
stroll, stroll
strong, strong
stubborn, stubborn
studio, studio
stuff, stuff
stumble, stumble
sturdy, sturdy
style, style
submarine, submarine
submerge, submerge
subtract, subtract
sudden, sudden
scanty, scanty
scapegoat schism, scapegoat schism
scholarly, scholarly
scholastic schooling, scholastic schooling
scholastic school, scholastic schooling
scrutinize seasonal, scrutinize seasonal
secular, secular
seethe, seethe
sensational sensitivity, sensational sensitivity
sensory, sensory
sensual, sensual
separation seriously, separation seriously
sermon, sermon
setter, setter
settler, settler
severity, severity
sexual, sexual
shareholder shipload, shareholder shipload
shipper, shipper
shortlist sift, shortlist sift
sighted, sighted
sightseer, sightseer
significanth, significanth
silt, silt
similarity, similarity
similarly, similarly
simplification, simplification
simulation, simulation
simultaneously, simultaneously
skepticism, skepticism
sovereignty, sovereignty
spatial, spatial
speaking , speaking 
specialization, specialization
specifically speculative, specifically speculative
spent, spent
spontaneity spook, spontaneity spook
spotlight, spotlight
springtime, springtime
stabilize  stakeholder stamina, stabilize  stakeholder stamina
standardize, standardize
standing  standstill, standing  standstill
stark, stark
statistical, statistical
statistically, statistically
statistician, statistician
steelworker, steelworker
stickines, stickiness
stickiness, stickiness
stimulant, stimulant
stimulu, stimulus
stimulus, stimulus
stockpile stomp, stockpile stomp
storehouse, storehouse
strangely, strangely
strategic, strategic
strictly, strictly
strikingly, strikingly
structural, structural
stuck, stuck
stunning stylish, stunning stylish
stylist, stylist
subconscious submission, subconscious submission
subscriber, subscriber
subsequently subsidize, subsequently subsidize
substantially substantiate, substantially substantiate
subtitle, subtitle
suburban, suburban
successfully, successfully
suddenly, suddenly
sufficiently, sufficiently
suitability, suitability
superstar, superstar
superstitiou, superstitious
superstitious, superstitious
supporter, supporter
supportive, supportive
suppos, supposing
supposing, supposing
surely, surely
surgical, surgical
surprisingly, surprisingly
suspiciously, suspiciously
sustainability, sustainability
sustainable, sustainable
swab, swab
swollen, swollen
symbolic, symbolic
symbolically, symbolically
 thirst,  thirst
thorough though, thorough though
thought, thought
thoughtful, thoughtful
threat, threat
threaten, threaten
★ theme, ★ theme
theory, theory
theoretical, theoretical
therap), therap)
★ tow, ★ tow
toward(s), toward(s)
take, take
talent, talent
target, target
taste, taste
technical, technical
technician, technician
technique, technique
technology/tech, technology/tech
teenager, teenager
temper, temper
temperature, temperature
temporal, temporal
temporary, temporary
tempt, tempt
temptation, temptation
tend, tend
tendency, tendency
tentative, tentative
term, term
terminal, terminal
terminate, terminate
testify, testify
trace, trace
track, track
tradition, tradition
★ thrift, ★ thrift
thrill, thrill
thrive, thrive
through, through
throughout, throughout
tip, tip
title, title
★ tos, ★ toss
★ toss, ★ toss
total, total
touch, touch
tough, tough
treat, treat
treaty, treaty
trend, trend
toast, toast
together, together
token, token
tolerance, tolerance
tolerant, tolerant
tolerate, tolerate
 toll,  toll
tone, tone
topic, topic
transaction, transaction
transfer, transfer
transform, transform
transient, transient
translation, translation
trail, trail
train, training, train
training, training
trait, trait
★ transmission, ★ transmission
transmit, transmit
transplant, transplant
transport, transport
天treasure, 天treasure
tremble, tremble
tremendous, tremendous
tremendou, tremendous
trench, trench
terrible, terrible
terrific, terrific
terrify, terrify
territory, territory
terror, terror
textile, textile
texture, texture
theatre, theatre
 theft,  theft
thermal, thermal
thermometer, thermometer
thick, thick
 thesi,  thesis
 thesis,  thesis
thigh, thigh
thorn, thorn
thousand, thousand
thread, thread
threshold, threshold
throne, throne
throw, throw
thrust, thrust
thumb, thumb
thunder, thunder
tick, tick
ticket, ticket
time, time
timely, timely
timid, timid
tin, tin
tiny, tiny
tower, tower
toxic, toxic
☆ tie, ☆ tie
tide, tide
tidy, tidy
tight, tight
tilt, tilt
★ tomb, ★ tomb
tongue, tongue
tool, tool
top, top
torch, torch
torment, torment
torture, torture
torrent, torrent
 tire,  tire
tiresome, tiresome
tissue, tissue
toil, toil
trade, trade
trademark , trademark 
traffic, traffic
temple, temple
tempo, tempo
tenant, tenant
tender, tender
tense, tense
tension, tension
then, then
thereafter, thereafter
thereby, thereby
therefore, therefore
 tablet,  tablet
taboo, taboo
tackle, tackle
tactic, tactic
tag, tag
tailor, tailor
tale, tale
tame, tame
tan, tan
tangible, tangible
tangle, tangle
tank, tank
tanker, tanker
tap, tap
tape, tape
tariff, tariff
tax, tax
telescope, telescope
telegraph, telegraph
tell, tell
tear, tear
tease, tease
tedious, tedious
tediou, tedious
★ transcend, ★ transcend
transistor, transistor
transit, transit
transition, transition
translate, translate
transparent, transparent
★ trial, ★ trial
triangle, triangle
tribe, tribe
tribute, tribute
trick, trick
trifle, trifle
trim, trim
trip, trip
triple, triple
 tragedy,  tragedy
tragic, tragic
tram, tram
 trap,  trap
trash, trash
travel, travel
★tug, ★tug
tuition, tuition
tune, tune
tunnel, tunnel
turbine, turbine
turkey, turkey
turmoil, turmoil
tutor, tutor
 troop,  troop
tropic, tropic
tropical, tropical
troublesome, troublesome
True, True
trust, trust
trunk, trunk
tube, tube
tuck, tuck
twin, twin
twinkle, twinkle
taxpayer, taxpayer
technicist, technicist
technological, technological
template, template
terrain, terrain
textual, textual
theorize, theorize
therapist, therapist
thermostat, thermostat
think-tank, think-tank
thoughtles, thoughtless
thoughtless, thoughtless
tier, tier
tighten, tighten
timeles, timeless
timeless, timeless
timescale, timescale
timidity, timidity
toll-free, toll-free
tort, tort
tournament, tournament
townsfolk, townsfolk
traceable, traceable
traditional, traditional
transcendence, transcendence
transcendentalist, transcendentalist
transferable, transferable
transmissible, transmissible
tribal, tribal
trigonometry, trigonometry
troublemaker, troublemaker
troupe, troupe
trustworthines, trustworthiness
trustworthiness, trustworthiness
tumbler, tumbler
turbulence, turbulence
turnaround, turnaround
typically, typically
 update,  update
upgrade, upgrade
uphold, uphold
upset, upset
up-to-date, up-to-date
★ ultimate, ★ ultimate
underestimate, underestimate
undergo, undergo
underlie, underlie
underlying, underlying
underly, underlying
underline, underline
understand, understanding, understand
understanding, understanding
undertake, undertake
uneasy, uneasy
unemployment, unemployment
unexpect, unexpected
unexpected, unexpected
unify, unify
union, union
unique, unique
universal, universal
universe, universe
unlike, unlike
unlikely, unlikely
unusual, unusual
★ urban, ★ urban
urge, urge
urgent, urgent
utilize, utilize
utter, utter
usage, usage
useful, useful
utmost, utmost
unfold, unfold
unfortunately uniform, unfortunately uniform
unit, unit
unite, unite
unity, unity
★ unload, ★ unload
upper, upper
upright, upright
upstairs, upstairs
upstair, upstairs
upward, upward
★ ugly, ★ ugly
ultraviolet, ultraviolet
umbrella, umbrella
unanimou, unanimous
unanimous, unanimous
uncover, uncover
undergraduate, undergraduate
underground, underground
undermine, undermine
underneath, underneath
  undo,   undo
undoubtedly, undoubtedly
ultimately, ultimately
unable, unable
unacceptable, unacceptable
unaccountably, unaccountably
unacknowledg, unacknowledged
unacknowledged, unacknowledged
unaffect, unaffected
unaffected, unaffected
unaffordable, unaffordable
unanswer, unanswered
unanswered, unanswered
unattractive, unattractive
unaware, unaware
unbearably, unbearably
unbias, unbiased
unbiased, unbiased
uncanny, uncanny
uncertain, uncertain
uncertainly, uncertainly
unchart, uncharted
uncharted, uncharted
unclean, unclean
unclear, unclear
unconscious, unconscious
unconsciou, unconscious
unconsciously, unconsciously
uncontrollable, uncontrollable
unconventional, unconventional
uncool, uncool
underfund, underfund
underrate, underrate
undervalue, undervalue
undesirable, undesirable
undeveloped, undeveloped
undevelop, undeveloped
undoubt, undoubted
undoubted, undoubted
undue, undue
uneconomic, uneconomic
unemployed, unemployed
unemploy, unemployed
uneven, uneven
unfair, unfair
unfairnes, unfairness
unfairness, unfairness
unfamiliar, unfamiliar
unfashionable, unfashionable
unfavo(u)rable, unfavo(u)rable
unfeasible, unfeasible
unfocus(s), unfocus(s)ed
unfocus(s)ed, unfocus(s)ed
unhappy, unhappy
unification, unification
uniformly, uniformly
unimaginable, unimaginable
unintentional, unintentional
unionism, unionism
unionize, unionize
universality, universality
unjust, unjust
unknowable, unknowable
unknown, unknown
unlearn, unlearned
unlearned, unlearned
unmistakable, unmistakable
unnatural, unnatural
unnecessarily, unnecessarily
unnecessary, unnecessary
unpleasant, unpleasant
unpopular, unpopular
unprecedented, unprecedented
unprecedent, unprecedented
unpredictability, unpredictability
unpredictable, unpredictable
unpretentiou, unpretentious
unpretentious, unpretentious
unrealistic, unrealistic
unreasonable, unreasonable
unrecogniz(s), unrecogniz(s)ed
unrecogniz(s)ed, unrecogniz(s)ed
unrelated, unrelated
unrelat, unrelated
unreliable, unreliable
unrepresentative, unrepresentative
unseat, unseat
unsettle, unsettle
unsurprisingly, unsurprisingly
unsustainable, unsustainable
untested, untested
untest, untested
unusually, unusually
unworthy, unworthy
upcoming, upcoming
upcom, upcoming
upfront, upfront
upkeep, upkeep
uplifting, uplifting
uplift, uplifting
upload, upload
upscale, upscale
upside, upside
upstart, upstart
user, user
Utopia, Utopia
utterance, utterance
ventilate, ventilate
venture, venture
vague, vague
vain, vain
valid, valid
valuable, valuable
value, value
vanish, vanish
variable, variable
variance, variance
variation, variation
variety, variety
various, various
variou, various
vary, vary
vast, vast
大vice, 大vice
vicious, vicious
viciou, vicious
victim, victim
 verbal,  verbal
verdict, verdict
verify, verify
verse, verse
version, version
vessel, vessel
 visible,  visible
vision, vision
visual, visual
vital, vital
vivid, vivid
void, void
volume, volume
view, view
viewpoint, viewpoint
violence, violence
violent, violent
virtual, virtual
virtue, virtue
 via,  via
viable, viable
vibrate, vibrate
vicinity, vicinity
violate, violate
video, video
violet, violet
virgin, virgin
viru, virus
virus, virus
vocal, vocal
vocation, vocation
voice, voice
volatile, volatile
volcano, volcano
voyage, voyage
 vest,  vest
veteran, veteran
veto, veto
★ vacant, ★ vacant
vacation, vacation
vaccine, vaccine
vacuum, vacuum
valve, valve
★ van, ★ van
vanity, vanity
vapo(u)r, vapo(u)r
vegetarian, vegetarian
vegetation, vegetation
vehicle, vehicle
veil, veil
vein, vein
velocity, velocity
velvet, velvet
vertical, vertical
verge, verge
versatile, versatile
versus, versus
versu, versus
vaccination, vaccination
validate, validate
validity, validity
vaunt, vaunt
vibrant, vibrant
vigorously, vigorously
virtuosity, virtuosity
virtuous, virtuous
virtuou, virtuous
yisionary, yisionary
visualize, visualize
vitality, vitality
volcanic, volcanic
voter, voter
 widespread,  widespread
win, win
wit, wit
withdraw, withdraw
witnes, witness
witness, witness
wage, wage
wander, wander
want, want
way, way
weak, weak
wear, wear
weary, weary
weigh, weigh
weight, weight
weird, weird
welfare, welfare
whirl, whirl
whisper, whisper
★ wonder, ★ wonder
worship, worship
worth, worth
worthwhile, worthwhile
worthy, worthy
write, write
writer, writer
★ wash, ★ wash
waste, waste
watch, watch
 waterfall,  waterfall
waterproof, waterproof
